session_id,start_time,end_time,duration_minutes,avg_ear,avg_distance_cm,drowsiness_events,avg_shoulder_tilt,avg_head_pitch,avg_head_yaw
20251126_145533,2025-11-26T14:55:33.978605,2025-11-26T14:55:58.174940,0.4,0.2752,55.78,0,1.73,4.81,1.27
20251126_194746,2025-11-26T19:47:46.479351,2025-11-26T19:48:11.699050,0.42,0.3462,56.97,0,2.11,4.04,0.53
20251126_195517,2025-11-26T19:55:17.016181,2025-11-26T19:55:55.579659,0.64,0.3613,59.24,0,1.97,2.05,1.25
20251126_195729,2025-11-26T19:57:29.881466,2025-11-26T19:57:50.122282,0.34,0.336,58.98,0,3.47,2.05,0.8
20251126_233434,2025-11-26T23:34:34.513271,2025-11-26T23:39:23.359049,4.81,0.3625,30.0,2,2.72,3.46,7.34
20251126_234423,2025-11-26T23:44:23.278186,2025-11-26T23:46:33.403721,2.17,0.3274,50.0,1,3.27,6.19,3.37
20251126_234637,2025-11-26T23:46:37.588935,2025-11-26T23:48:37.252645,1.99,0.3513,32.58,2,4.85,6.26,2.92
20251126_235126,2025-11-26T23:51:26.510784,2025-11-26T23:51:53.331236,0.45,0.3911,45.16,0,1.24,1.59,0.9
20251126_235157,2025-11-26T23:51:57.256901,2025-11-26T23:57:45.780084,5.81,0.3593,34.35,5,1.95,4.86,4.08
20251126_235753,2025-11-26T23:57:53.196527,2025-11-27T00:01:10.907831,3.3,0.3339,49.02,2,1.13,4.31,3.29
20251127_000225,2025-11-27T00:02:25.016608,2025-11-27T00:03:17.406717,0.87,0.3353,38.09,0,3.05,9.13,1.19
20251127_001953,2025-11-27T00:19:53.568755,2025-11-27T00:20:57.524965,1.07,0.3578,60.32,2,1.32,3.51,2.31
